0, 4865138.983215332
1, 4596807.333221436
2, 4538987.990478516
3, 4510460.931610107
4, 4484432.469573975
5, 4459100.836975098
6, 4440774.19972229
7, 4423064.744186401
8, 4403041.36315918
9, 4397221.121994019
10, 4380201.37046814
11, 4369585.49281311
12, 4357584.218658447
13, 4346160.233718872
14, 4334613.551925659
15, 4329315.9342803955
16, 4320881.349899292
17, 4319830.321014404
18, 4309012.446731567
19, 4295872.008178711
20, 4292694.584487915
21, 4278255.748565674
22, 4269634.062133789
23, 4255080.866043091
24, 4251158.51625061
25, 4243241.765014648
26, 4242265.125808716
27, 4235329.857299805
28, 4229239.4248046875
29, 4229355.7010650635
30, 4216625.420669556
31, 4216307.631652832
32, 4213346.203826904
33, 4204523.861572266
34, 4202192.206161499
35, 4196062.370864868
36, 4200465.282684326
37, 4188244.6856689453
38, 4186793.0098571777
39, 4187477.4535217285
40, 4185738.316253662
41, 4177743.482772827
42, 4177583.110305786
43, 4175649.2595214844
44, 4175481.7456817627
45, 4178044.422012329
46, 4173273.72467041
47, 4176164.1264953613
48, 4166158.8090515137
49, 4166336.77204895
50, 4177599.669494629
51, 4172247.3866119385
52, 4156075.2787628174
